date,opponent,w/l,sp,k,e,ta,pct,ast,sa,se,re,dig,bs,ba,be,tb,bhe,pts,year,k_per_sp,e_per_sp,pts_per_sp,ast_to_e,sa_minus_se,total_blocks
9/29/2021,Lourdes,0,5,61,23,191,0.199,58,7,13,8,98,3,8,0,7.0,6,74.0,2021,12.2,4.6,14.8,2.5217380340269417,-6,11
10/1/2021,Cornerstone,0,3,36,28,122,0.066,34,7,2,6,61,0,10,0,5.0,1,48.0,2021,12.0,9.333333333333334,16.0,1.2142852806123998,5,10
10/2/2021,Aquinas College,0,4,52,23,156,0.186,42,4,4,4,63,1,12,0,7.0,0,63.0,2021,13.0,5.75,15.75,1.8260861625712337,0,13
10/13/2021,at Rochester,0,3,36,39,144,-0.021,23,4,5,5,76,2,14,0,9.0,0,49.0,2021,12.0,13.0,16.333333333333332,0.5897434385273234,-1,16
10/20/2021,at Madonna,0,3,36,18,103,0.175,34,4,2,7,44,1,14,0,8.0,0,48.0,2021,12.0,6.0,16.0,1.8888878395067559,2,15
10/22/2021,Indiana Tech,0,3,29,20,116,0.078,23,5,11,8,52,1,2,0,2.0,4,36.0,2021,9.666666666666666,6.666666666666667,12.0,1.1499994250002876,-6,3
10/22/2021,University of Northwestern Ohio,1,4,38,24,141,0.099,36,9,8,4,66,1,34,1,18.0,3,65.0,2021,9.5,6.0,16.25,1.4999993750002605,1,35
10/27/2021,at Lourdes,0,3,32,31,121,0.008,31,5,5,4,47,0,10,1,5.0,0,42.0,2021,10.666666666666666,10.333333333333334,14.0,0.9999996774194589,0,10
11/3/2021,Siena Heights,1,5,64,32,197,0.162,59,9,5,14,110,1,14,0,8.0,1,81.0,2021,12.8,6.4,16.2,1.843749423828305,4,15
11/6/2021,at Michigan-Dearborn,0,5,55,28,172,0.157,55,7,6,12,79,0,22,0,11.0,1,73.0,2021,11.0,5.6,14.6,1.9642850127553526,1,22
10/7/2020,at Rochester (Mich.),1,4,47,30,151,0.113,42,14,9,2,74,3,0,6,3.0,0,64.0,2020,11.75,7.5,16.0,1.399999533333489,5,3
2/23/2021,at Aquinas,0,4,49,25,161,0.149,43,11,8,5,78,1,2,3,2.0,0,62.0,2020,12.25,6.25,15.5,1.7199993120002752,3,3
8/30/2019,vs Peru State,1,3,41,12,104,0.279,36,10,7,6,58,0,6,1,3.0,1,54.0,2019,13.666666666666666,4.0,18.0,2.9999975000020833,3,6
8/30/2019,vs Doane (Neb.),1,4,59,14,159,0.283,57,10,10,5,78,2,4,1,4.0,1,73.0,2019,14.75,3.5,18.25,4.071425663267384,0,6
8/31/2019,at McPherson (Kan.),1,4,63,23,160,0.25,57,6,8,8,76,1,6,3,4.0,0,73.0,2019,15.75,5.75,18.25,2.47825979206096,-2,7
8/31/2019,vs Central Methodist,0,5,59,20,200,0.195,56,12,6,7,104,0,10,0,5.0,2,76.0,2019,11.8,4.0,15.2,2.7999986000007,6,10
9/6/2019,vs West Virginia Tech,1,3,45,17,114,0.246,43,13,6,1,55,0,4,0,2.0,0,60.0,2019,15.0,5.666666666666667,20.0,2.5294102768174844,7,4
